Unique ID,Surgery Name,Surgery Address 1,Surgery Address 2,Surgery Town,Surgery County,Surgery Post Code,Surgery Email,Surgery Telephone,TEVA Account No,TEVA Manager,Total Patients,Total Patients (Dispensing),Wholesaler Name,Wholesale Account,Wholesale Depot,Discount Braltus Zonda 10mcg,Discount DuoResp Spiromax 160mcg/4.5mcg,Discount DuoResp Spiromax 320mcg/9mcg,Discount Qvar MDI 50mcg,Discount Qvar MDI 100mcg,Discount Qvar Easi-Breathe 50mcg,Discount Qvar Easi-Breathe 100mcg,Authorised Signatory,Terms Agreement,Date Created,Activated,Date Activated,Sending bank details,
5f417b9e-55d8-4dae-b2d9-77c68d00a4cc,e,e,e,e,e,e,sample@email.tst,e,e,e,1acu6MbT3jkiBP,e,DE Group,e,e,No,No,No,No,No,No,No,No,Yes,2020-08-22,No,0000-00-00,Yes,
5f417b9e-4240-475b-bafc-77c58d00a4cc,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,e,No,No,No,No,No,No,No,No,Yes,2020-08-22,No,0000-00-00,Yes,
5f417b9e-674c-4c4a-be4e-78bc8d00a4cc,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,1acusWtDVunNSR,e,No,No,No,No,No,No,No,No,Yes,2020-08-22,No,0000-00-00,Yes,
5f417b9e-db88-4565-97a5-78b08d00a4cc,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,1acuN3W3CTivBO,e,e,No,No,No,No,No,No,No,No,Yes,2020-08-22,No,0000-00-00,Yes,
5f417b9f-f740-4064-8f5f-77c98d00a4cc,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,1acuYTs9N2Gdqk,No,No,No,No,No,No,No,No,Yes,2020-08-22,No,0000-00-00,Yes,
5f417b9d-3c80-4ad7-ac65-78758d00a4cc,e,e,e,e,e,e,sample@email.tst,e,e,e,e,1acuFFeDVlFb8F,DE Group,e,e,No,No,No,No,No,No,No,No,Yes,2020-08-22,No,0000-00-00,Yes,
5f417b9e-315c-416d-8cbf-77c08d00a4cc,e,e,e,1aculmJMQQO8xc,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,e,No,No,No,No,No,No,No,No,Yes,2020-08-22,No,0000-00-00,Yes,
5f417b9e-62b4-4a67-a87d-77bf8d00a4cc,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,e,No,No,No,No,No,No,No,No,Yes,2020-08-22,No,0000-00-00,Yes,
5f417b99-f7a8-4441-8ae9-785a8d00a4cc,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,e,No,No,No,No,No,No,No,No,No,2020-08-22,No,0000-00-00,Yes,
5f417b98-c220-434a-b5ab-78e78d00a4cc,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,e,No,No,No,No,No,No,No,No,Yes,2020-08-22,No,0000-00-00,Yes,
5f417b97-f810-4bdd-992f-77bf8d00a4cc,e,e,e,e,e,e,sample@email.tst,e,e,1acu4CKLFfRXve,e,e,DE Group,e,e,No,No,No,No,No,No,No,No,Yes,2020-08-22,No,0000-00-00,Yes,
5f417b97-e354-4f03-b1f6-77c58d00a4cc,e,e,e,e,e,1acuk4w1vu8VTM,sample@email.tst,e,e,e,e,e,DE Group,e,e,No,No,No,No,No,No,No,No,Yes,2020-08-22,No,0000-00-00,Yes,
